,0
0,load
1912,10.48
1913,10.49
1914,10.49
1915,10.49
1916,10.49
1917,10.5
1918,10.51
1919,10.51
1920,10.51
1921,10.52
1922,10.52
1923,10.53
1924,10.54
1925,10.55
1926,10.55
1927,10.55
1928,10.56
1929,10.56
1930,10.57
1931,10.57
1932,10.57
1933,10.58
1934,10.59
1935,10.61
1936,10.61
1937,10.62
1938,10.62
1939,10.63
1940,10.63
1941,10.64
1942,10.64
1943,10.65
1944,10.66
1945,10.66
1946,10.67
1947,10.67
1948,10.68
1949,10.69
1950,10.69
1951,10.7
1952,10.71
1953,10.71
1954,10.71
1955,10.71
1956,10.72
1957,10.72
1958,10.73
1959,10.73
1960,10.74
1961,10.74
1962,10.74
1963,10.75
1964,10.75
1965,10.75
1966,10.76
1967,10.77
1968,10.78
1969,10.78
1970,10.79
1971,10.79
1972,10.8
1973,10.81
1974,10.81
1975,10.82
1976,10.83
1977,10.83
1978,10.84
1979,10.84
1980,10.86
1981,10.86
1982,10.87
1983,10.87
1984,10.88
1985,10.88
1986,10.88
1987,10.89
1988,10.89
1989,10.89
1990,10.9
1991,10.92
1992,10.92
1993,10.93
1994,10.93
1995,10.94
1996,10.95
1997,10.95
1998,10.96
1999,10.97
2000,10.98
2001,10.99
2002,10.99
2003,11.0
2004,11.01
2005,11.01
2006,11.01
2007,11.02
2008,11.02
2009,11.02
2010,11.02
2011,11.03
2012,11.03
2013,11.04
2014,11.04
2015,11.05
2016,11.05
2017,11.05
2018,11.05
2019,11.05
2020,11.06
2021,11.06
2022,11.06
2023,11.06
2024,11.06
2025,11.06
2026,11.06
2027,11.06
2028,11.07
2029,11.06
2030,11.06
2031,11.06
2032,11.06
2033,11.06
2034,11.06
2035,11.06
2036,11.06
2037,11.06
2038,11.06
2039,11.06
2040,11.06
2041,11.06
2042,11.06
2043,11.06
2044,11.06
2045,11.06
2046,11.06
2047,11.06
2048,11.06
2049,11.06
2050,11.06
2051,11.07
2052,11.07
2053,11.07
2054,11.07
2055,11.07
2056,11.07
2057,11.07
2058,11.08
2059,11.08
2060,11.08
2061,11.08
2062,11.08
2063,11.08
2064,11.08
2065,11.08
2066,11.08
2067,11.08
2068,11.08
2069,11.08
2070,11.08
2071,11.08
2072,11.09
2073,11.09
2074,11.09
2075,11.09
2076,11.09
2077,11.09
2078,11.09
2079,11.09
2080,11.09
2081,11.09
2082,11.09
2083,11.09
2084,11.09
2085,11.08
2086,11.08
2087,11.08
2088,11.08
2089,11.08
2090,11.08
2091,11.08
2092,11.08
2093,11.08
2094,11.08
2095,11.08
2096,11.08
2097,11.08
2098,11.08
2099,11.08
2100,11.07
2101,11.07
2102,11.07
2103,11.07
2104,11.07
2105,11.07
2106,11.07
2107,11.07
2108,11.07
2109,11.07
2110,11.07
2111,11.07
2112,11.07
2113,11.06
2114,11.06
2115,11.06
2116,11.06
2117,11.06
2118,11.06
2119,11.06
2120,11.06
2121,11.06
2122,11.06
2123,11.06
2124,11.06
2125,11.06
2126,11.06
2127,11.05
2128,11.05
2129,11.05
2130,11.05
2131,11.05
2132,11.02
2133,0.025
2134,0.025
2135,0.025
2136,0.024
2137,0.024
2138,0.024
2139,0.024
