,0
0,ohms
623,5853.22277
624,5709.50656
625,5909.1699
626,5765.4782
627,5814.46799
628,5767.63632
629,5819.32055
630,5837.40749
631,5841.89198
632,5768.58381
633,5787.16753
634,5635.92659
635,5562.82445
636,5778.27644
637,5713.25973
638,5699.66226
639,5834.29753
640,5705.71115
641,5675.77543
642,5582.23671
643,5731.68574
644,5655.93749
645,5490.90106
646,5702.82591
647,5610.30856
648,5457.56091
649,5621.59699
650,5521.54972
651,5551.50799
652,5411.78272
653,5551.97932
654,5623.99711
655,5311.82643
656,5423.51537
657,5506.34963
658,5543.51647
659,5274.25808
660,5422.82967
661,5366.33711
662,5376.13507
663,5471.39739
664,5392.47424
665,5389.88219
666,5340.55231
667,5430.87379
668,5281.59924
669,5425.06161
670,5361.92144
671,5300.6964
672,5185.16592
673,5082.65585
674,5445.09294
675,5284.48509
676,5249.58282
677,5274.99556
678,5303.28297
679,5298.57929
680,5239.12173
681,5223.25505
682,5226.70761
683,5151.0782
684,5179.43023
685,5303.36401
686,5216.56501
687,5190.10444
688,5081.44157
689,5209.68479
690,5139.27084
691,5216.19723
692,5053.61939
693,5172.73863
694,5127.81647
695,5063.94411
696,4979.82422
697,4924.26945
698,4928.679
699,5098.19457
700,5061.50904
701,5055.97453
702,4978.65749
703,4982.47012
704,5036.55291
705,5131.61548
706,4917.92763
707,5086.5179
708,4901.66913
709,5006.09257
710,4970.14116
711,4881.09961
712,5005.22721
713,4991.77791
714,4899.90403
715,4842.73055
716,4793.58189
717,4947.25098
718,4854.32071
719,4814.28266
720,4749.68821
721,4832.35365
722,4833.9062
723,4815.67383
724,4800.19134
725,4576.75231
726,4851.25208
727,4755.44155
728,4735.67501
729,4665.33006
730,4638.53384
731,4753.7631
732,4770.20861
733,4662.75225
734,4706.72508
735,4799.63832
736,4688.70136
737,4711.48581
738,4721.74522
739,4609.46412
740,4676.42363
741,4622.304
742,4735.63559
743,4668.85529
744,4658.65335
745,4568.13864
746,4510.53671
747,4575.66935
748,4529.36393
749,4462.91799
750,4505.94395
751,4520.52234
752,4505.03675
753,4638.23708
754,4501.87656
755,4578.11524
756,4523.87081
757,4511.71761
758,4424.19122
759,4547.96364
760,4574.99772
761,4611.34843
762,4463.31216
763,4436.89062
764,4614.89595
765,4449.59903
766,4450.29103
767,4351.84301
768,4543.331
769,4472.95942
770,4316.01632
771,4378.16388
772,4405.22602
773,4341.41413
774,4232.93901
775,4279.13229
776,4347.89879
777,4328.79792
778,4264.14727
779,4259.46464
780,4238.09105
781,4268.88403
782,4239.23815
783,4344.98387
784,4354.53705
785,4406.44089
786,4260.51645
787,4260.7033
788,4277.60464
789,4186.93923
790,4331.36044
791,4287.3416
792,4196.47491
793,4216.48374
794,4123.94343
795,4288.78147
796,4100.99356
797,4237.83506
798,4246.74044
799,4308.57565
800,4315.39926
801,4185.26457
802,4221.16905
803,4200.5882
804,4088.3393
805,4160.31955
806,4098.73327
807,4201.20097
808,4280.82779
809,4222.46883
810,4168.9287
811,4309.74808
812,4267.69653
813,4076.79641
814,4253.40491
815,4149.24335
816,4044.24041
817,4075.68356
818,4160.4986
819,4023.95375
820,4125.04818
821,3950.95394
822,3979.58309
823,4076.0756
824,3905.29399
825,3913.92815
826,4073.82594
827,3827.61146
828,4033.90581
829,3952.66587
830,4029.28255
831,3903.97559
832,3857.38677
833,3883.3035
834,3797.09075
835,3938.59488
836,3894.04596
837,4025.41338
838,3923.53976
839,3928.73649
840,3981.00059
841,3911.79336
842,3796.13156
843,3848.46253
844,3984.14349
845,3846.63
846,3825.17714
847,3945.3261
848,3654.12075
849,3883.33519
850,3846.9534
851,3856.89764
852,3872.72364
853,3600.42713
854,3708.55452
855,3763.25146
856,3860.79279
857,3710.65135
858,3758.45136
859,3812.47915
860,3728.49937
861,3707.15899
862,3725.46871
863,3704.21745
864,3788.05516
865,3844.40501
866,3747.59239
867,3755.50977
868,3842.72452
869,3732.28145
870,3644.39856
871,3770.66361
872,3632.40274
873,3619.20544
874,3619.86028
875,3623.33941
876,3616.91057
877,3651.22491
878,3628.90223
879,3863.50463
880,3772.65297
881,3662.73539
882,3671.5141
883,3573.73663
884,3441.24435
885,3663.04968
886,3668.17625
887,3674.1175
888,3556.38339
889,3723.99139
890,3567.56842
891,3652.0141
892,3531.02069
893,3748.41202
894,3769.25379
895,3813.9076
896,3618.60851
897,3677.30593
898,3575.29446
899,3707.4977
900,3622.3222
901,3659.0531
902,3650.33538
903,3540.64747
904,3527.7207
905,3509.29114
906,3708.37813
907,3516.02378
908,3492.60851
909,3463.9156
910,3434.00834
911,3478.29095
912,3533.91298
913,3654.48661
914,3445.08749
915,3529.0557
916,3662.05159
917,3475.0345
918,3516.73313
919,3423.17658
920,3552.53074
921,3483.54604
922,3429.1168
923,3406.70342
924,3435.41035
925,3466.93977
926,3631.06718
927,3420.70246
928,3528.51285
929,3510.44082
930,3470.19767
931,3451.65885
932,3508.33297
933,3375.03838
934,3562.56925
935,3422.65493
936,3385.27685
937,3556.17459
938,3346.96753
939,3528.56112
940,3521.88152
941,3528.55253
942,3441.45461
943,3469.53915
944,3328.02507
945,3352.25206
946,3297.82844
947,3469.07252
948,3475.62817
949,3351.51166
950,3430.7333
951,3373.20586
952,3335.30052
953,3281.21636
954,3302.239
955,3336.01301
956,3299.90356
957,3352.52835
958,3271.02381
959,3356.42788
960,3417.04881
961,3275.9308
962,3320.26662
963,3171.27175
964,3314.8851
965,3350.7959
966,3237.53173
967,3400.48611
968,3382.98505
969,3239.39697
970,3257.39888
971,3262.1443
972,3194.60653
973,3294.03225
974,3302.55578
975,3268.30387
976,3143.71934
977,3303.14558
978,3222.66201
979,3223.69597
980,3291.50533
981,3165.23299
982,3215.24382
983,3142.68202
984,3196.01492
985,3218.64318
986,3170.05108
987,3235.61735
988,3126.93099
989,3277.45904
990,3204.8372
991,3196.21072
992,3258.44105
993,3174.19124
