Sensor, Timestamp, Value
LoadCell, 2024-05-02 18:38:38.794065, 0.00408
DMM, 2024-05-02 18:38:38.794065, 1319146.98
LoadCell, 2024-05-02 18:38:38.813709, None
DMM, 2024-05-02 18:38:38.813709, 1398984.72
LoadCell, 2024-05-02 18:38:38.834384, None
DMM, 2024-05-02 18:38:38.834384, 1403001.85
LoadCell, 2024-05-02 18:38:38.854741, None
DMM, 2024-05-02 18:38:38.854741, 1398320.41
LoadCell, 2024-05-02 18:38:38.874692, None
DMM, 2024-05-02 18:38:38.874692, 1394771.92
LoadCell, 2024-05-02 18:38:38.895043, 0.00403
DMM, 2024-05-02 18:38:38.895043, 1399174.49
LoadCell, 2024-05-02 18:38:38.914089, None
DMM, 2024-05-02 18:38:38.914089, 1400231.26
LoadCell, 2024-05-02 18:38:38.936462, None
DMM, 2024-05-02 18:38:38.936462, 1361262.93
LoadCell, 2024-05-02 18:38:38.953668, None
DMM, 2024-05-02 18:38:38.953668, 1298786.11
LoadCell, 2024-05-02 18:38:38.973784, None
DMM, 2024-05-02 18:38:38.973784, 1263225.97
LoadCell, 2024-05-02 18:38:38.994038, 0.00412
DMM, 2024-05-02 18:38:38.994038, 1248446.6
LoadCell, 2024-05-02 18:38:39.015453, None
DMM, 2024-05-02 18:38:39.015453, 1261452.44
LoadCell, 2024-05-02 18:38:39.034710, None
DMM, 2024-05-02 18:38:39.034710, 1278065.2
LoadCell, 2024-05-02 18:38:39.053729, None
DMM, 2024-05-02 18:38:39.053729, 1298548.85
LoadCell, 2024-05-02 18:38:39.074568, None
DMM, 2024-05-02 18:38:39.074568, 1340317.74
LoadCell, 2024-05-02 18:38:39.094952, 0.0041
DMM, 2024-05-02 18:38:39.094952, 1349994.83
LoadCell, 2024-05-02 18:38:39.114596, None
DMM, 2024-05-02 18:38:39.114596, 1354121.89
LoadCell, 2024-05-02 18:38:39.133731, None
DMM, 2024-05-02 18:38:39.133731, 1336260.98
LoadCell, 2024-05-02 18:38:39.156687, None
DMM, 2024-05-02 18:38:39.156687, 1320354.01
LoadCell, 2024-05-02 18:38:39.175623, None
DMM, 2024-05-02 18:38:39.175623, 1217538.66
LoadCell, 2024-05-02 18:38:39.195574, 0.00403
DMM, 2024-05-02 18:38:39.195574, 1184030.12
LoadCell, 2024-05-02 18:38:39.214199, None
DMM, 2024-05-02 18:38:39.214199, 1202229.76
LoadCell, 2024-05-02 18:38:39.235302, None
DMM, 2024-05-02 18:38:39.235302, 1250493.83
LoadCell, 2024-05-02 18:38:39.254246, None
DMM, 2024-05-02 18:38:39.254246, 1170948.67
LoadCell, 2024-05-02 18:38:39.273612, None
DMM, 2024-05-02 18:38:39.273612, 1112548.6
LoadCell, 2024-05-02 18:38:39.294020, 0.0041
DMM, 2024-05-02 18:38:39.294020, 1141051.19
LoadCell, 2024-05-02 18:38:39.313960, None
DMM, 2024-05-02 18:38:39.313960, 1315342.81
LoadCell, 2024-05-02 18:38:39.334373, None
DMM, 2024-05-02 18:38:39.334373, 1429877.03
LoadCell, 2024-05-02 18:38:39.353539, None
DMM, 2024-05-02 18:38:39.353539, 1334294.1
LoadCell, 2024-05-02 18:38:39.375472, None
DMM, 2024-05-02 18:38:39.375472, 1081593.76
LoadCell, 2024-05-02 18:38:39.394409, 0.00409
DMM, 2024-05-02 18:38:39.394409, 1042474.17
LoadCell, 2024-05-02 18:38:39.414341, None
DMM, 2024-05-02 18:38:39.414341, 1246895.98
LoadCell, 2024-05-02 18:38:39.433893, None
DMM, 2024-05-02 18:38:39.433893, 704303.951
LoadCell, 2024-05-02 18:38:39.454740, None
DMM, 2024-05-02 18:38:39.454740, 314379.948
LoadCell, 2024-05-02 18:38:39.474644, None
DMM, 2024-05-02 18:38:39.474644, 218700.36
LoadCell, 2024-05-02 18:38:39.493881, 0.00407
DMM, 2024-05-02 18:38:39.493881, 205699.969
LoadCell, 2024-05-02 18:38:39.515110, None
DMM, 2024-05-02 18:38:39.515110, 188933.367
LoadCell, 2024-05-02 18:38:39.533669, None
DMM, 2024-05-02 18:38:39.533669, 162791.579
LoadCell, 2024-05-02 18:38:39.553745, None
DMM, 2024-05-02 18:38:39.553745, 147068.186
LoadCell, 2024-05-02 18:38:39.574455, None
DMM, 2024-05-02 18:38:39.574455, 144858.027
LoadCell, 2024-05-02 18:38:39.594974, 0.00414
DMM, 2024-05-02 18:38:39.594974, 143661.259
LoadCell, 2024-05-02 18:38:39.613817, None
DMM, 2024-05-02 18:38:39.613817, 143423.203
LoadCell, 2024-05-02 18:38:39.634084, None
DMM, 2024-05-02 18:38:39.634084, 143266.464
LoadCell, 2024-05-02 18:38:39.653833, None
DMM, 2024-05-02 18:38:39.653833, 143487.452
LoadCell, 2024-05-02 18:38:39.673893, None
DMM, 2024-05-02 18:38:39.673893, 143923.947
LoadCell, 2024-05-02 18:38:39.694925, 0.00414
DMM, 2024-05-02 18:38:39.694925, 144171.264
LoadCell, 2024-05-02 18:38:39.714268, None
DMM, 2024-05-02 18:38:39.714268, 144672.716
LoadCell, 2024-05-02 18:38:39.734299, None
DMM, 2024-05-02 18:38:39.734299, 143686.3
LoadCell, 2024-05-02 18:38:39.753710, None
DMM, 2024-05-02 18:38:39.753710, 142302.43
LoadCell, 2024-05-02 18:38:39.775043, None
DMM, 2024-05-02 18:38:39.775043, 141945.062
LoadCell, 2024-05-02 18:38:39.794972, 0.00421
DMM, 2024-05-02 18:38:39.794972, 140994.835
LoadCell, 2024-05-02 18:38:39.815682, None
DMM, 2024-05-02 18:38:39.815682, 140341.449
LoadCell, 2024-05-02 18:38:39.834386, None
DMM, 2024-05-02 18:38:39.834386, 139393.642
LoadCell, 2024-05-02 18:38:39.853551, None
DMM, 2024-05-02 18:38:39.853551, 135679.033
LoadCell, 2024-05-02 18:38:39.873905, None
DMM, 2024-05-02 18:38:39.873905, 133144.864
LoadCell, 2024-05-02 18:38:39.895960, 0.00399
DMM, 2024-05-02 18:38:39.895960, 131982.76
LoadCell, 2024-05-02 18:38:39.914317, None
DMM, 2024-05-02 18:38:39.914317, 130365.714
LoadCell, 2024-05-02 18:38:39.934473, None
DMM, 2024-05-02 18:38:39.934473, 128901.702
LoadCell, 2024-05-02 18:38:39.953869, None
DMM, 2024-05-02 18:38:39.953869, 127898.811
LoadCell, 2024-05-02 18:38:39.974277, None
DMM, 2024-05-02 18:38:39.974277, 127582.815
LoadCell, 2024-05-02 18:38:39.994255, 0.00407
DMM, 2024-05-02 18:38:39.994255, 127259.573
LoadCell, 2024-05-02 18:38:40.013820, None
DMM, 2024-05-02 18:38:40.013820, 126669.388
LoadCell, 2024-05-02 18:38:40.036715, None
DMM, 2024-05-02 18:38:40.036715, 126054.917
LoadCell, 2024-05-02 18:38:40.053764, None
DMM, 2024-05-02 18:38:40.053764, 125025.226
