,load,ohms
2611,"[' 2024-04-29 14:26:22.434142', '4.393']","[' 2024-04-29 14:26:22.434142', '3389.1201']"
2612,"[' 2024-04-29 14:26:22.633857', '4.407']","[' 2024-04-29 14:26:22.633857', '3575.06571']"
2613,"[' 2024-04-29 14:26:22.840095', '4.437']","[' 2024-04-29 14:26:22.840095', '3726.14904']"
2614,"[' 2024-04-29 14:26:23.044045', '4.462']","[' 2024-04-29 14:26:23.044045', '3617.32326']"
2615,"[' 2024-04-29 14:26:23.242442', '4.474']","[' 2024-04-29 14:26:23.242442', '3680.56954']"
2616,"[' 2024-04-29 14:26:23.440759', '4.49']","[' 2024-04-29 14:26:23.440759', '3711.76098']"
2617,"[' 2024-04-29 14:26:23.641603', '4.5']","[' 2024-04-29 14:26:23.641603', '3491.3316']"
2618,"[' 2024-04-29 14:26:23.834320', '4.517']","[' 2024-04-29 14:26:23.834320', '3522.12679']"
2619,"[' 2024-04-29 14:26:24.044093', '4.535']","[' 2024-04-29 14:26:24.044093', '3512.60084']"
2620,"[' 2024-04-29 14:26:24.244105', '4.549']","[' 2024-04-29 14:26:24.244105', '3270.632']"
2621,"[' 2024-04-29 14:26:24.444090', '4.581']","[' 2024-04-29 14:26:24.444090', '3629.34475']"
2622,"[' 2024-04-29 14:26:24.641109', '4.601']","[' 2024-04-29 14:26:24.641109', '3406.06387']"
2623,"[' 2024-04-29 14:26:24.834870', '4.618']","[' 2024-04-29 14:26:24.834870', '3506.91362']"
2624,"[' 2024-04-29 14:26:25.043104', '4.642']","[' 2024-04-29 14:26:25.043104', '3443.98576']"
2625,"[' 2024-04-29 14:26:25.241373', '4.662']","[' 2024-04-29 14:26:25.241373', '3339.51974']"
2626,"[' 2024-04-29 14:26:25.434425', '4.669']","[' 2024-04-29 14:26:25.434425', '3461.52583']"
2627,"[' 2024-04-29 14:26:25.642350', '4.689']","[' 2024-04-29 14:26:25.642350', '3422.17711']"
2628,"[' 2024-04-29 14:26:25.833964', '4.704']","[' 2024-04-29 14:26:25.833964', '3414.95016']"
