,load,ohms
297,"[' 2024-04-29 14:47:51.999311', ' 1.29']","[' 2024-04-29 14:47:51.999311', ' 12813.3111']"
298,"[' 2024-04-29 14:47:52.200338', ' 1.295']","[' 2024-04-29 14:47:52.200338', ' 12741.8807']"
299,"[' 2024-04-29 14:47:52.401228', ' 1.3']","[' 2024-04-29 14:47:52.401228', ' 12633.261']"
300,"[' 2024-04-29 14:47:52.600519', ' 1.307']","[' 2024-04-29 14:47:52.600519', ' 12727.0901']"
301,"[' 2024-04-29 14:47:52.809485', ' 1.317']","[' 2024-04-29 14:47:52.809485', ' 12528.294']"
302,"[' 2024-04-29 14:47:53.010688', ' 1.323']","[' 2024-04-29 14:47:53.010688', ' 12594.8908']"
303,"[' 2024-04-29 14:47:53.210829', ' 1.332']","[' 2024-04-29 14:47:53.210829', ' 12508.3501']"
304,"[' 2024-04-29 14:47:53.400683', ' 1.34']","[' 2024-04-29 14:47:53.400683', ' 12270.7545']"
305,"[' 2024-04-29 14:47:53.611391', ' 1.346']","[' 2024-04-29 14:47:53.611391', ' 12228.948']"
306,"[' 2024-04-29 14:47:53.808198', ' 1.351']","[' 2024-04-29 14:47:53.808198', ' 12293.5684']"
307,"[' 2024-04-29 14:47:54.011364', ' 1.354']","[' 2024-04-29 14:47:54.011364', ' 12363.0526']"
308,"[' 2024-04-29 14:47:54.210925', ' 1.358']","[' 2024-04-29 14:47:54.210925', ' 12106.8571']"
309,"[' 2024-04-29 14:47:54.401564', ' 1.36']","[' 2024-04-29 14:47:54.401564', ' 12044.8343']"
310,"[' 2024-04-29 14:47:54.607098', ' 1.366']","[' 2024-04-29 14:47:54.607098', ' 12104.0272']"
311,"[' 2024-04-29 14:47:54.804315', ' 1.373']","[' 2024-04-29 14:47:54.804315', ' 11905.4217']"
312,"[' 2024-04-29 14:47:55.013217', ' 1.378']","[' 2024-04-29 14:47:55.013217', ' 11967.3337']"
313,"[' 2024-04-29 14:47:55.210611', ' 1.386']","[' 2024-04-29 14:47:55.210611', ' 11862.9353']"
314,"[' 2024-04-29 14:47:55.399443', ' 1.391']","[' 2024-04-29 14:47:55.399443', ' 11686.4255']"
315,"[' 2024-04-29 14:47:55.610535', ' 1.396']","[' 2024-04-29 14:47:55.610535', ' 11664.5959']"
316,"[' 2024-04-29 14:47:55.811490', ' 1.403']","[' 2024-04-29 14:47:55.811490', ' 11794.7497']"
317,"[' 2024-04-29 14:47:56.008941', ' 1.407']","[' 2024-04-29 14:47:56.008941', ' 11524.798']"
318,"[' 2024-04-29 14:47:56.198813', ' 1.415']","[' 2024-04-29 14:47:56.198813', ' 11534.6237']"
319,"[' 2024-04-29 14:47:56.401576', ' 1.422']","[' 2024-04-29 14:47:56.401576', ' 11407.8491']"
320,"[' 2024-04-29 14:47:56.610999', ' 1.429']","[' 2024-04-29 14:47:56.610999', ' 11400.4014']"
321,"[' 2024-04-29 14:47:56.801536', ' 1.436']","[' 2024-04-29 14:47:56.801536', ' 11315.7361']"
322,"[' 2024-04-29 14:47:57.005847', ' 1.441']","[' 2024-04-29 14:47:57.005847', ' 11374.9754']"
323,"[' 2024-04-29 14:47:57.199846', ' 1.444']","[' 2024-04-29 14:47:57.199846', ' 11275.7206']"
324,"[' 2024-04-29 14:47:57.409418', ' 1.449']","[' 2024-04-29 14:47:57.409418', ' 11028.8225']"
325,"[' 2024-04-29 14:47:57.600578', ' 1.451']","[' 2024-04-29 14:47:57.600578', ' 11020.3424']"
326,"[' 2024-04-29 14:47:57.812046', ' 1.454']","[' 2024-04-29 14:47:57.812046', ' 10900.7648']"
327,"[' 2024-04-29 14:47:58.000861', ' 1.46']","[' 2024-04-29 14:47:58.000861', ' 11029.6644']"
328,"[' 2024-04-29 14:47:58.200112', ' 1.466']","[' 2024-04-29 14:47:58.200112', ' 10908.6372']"
329,"[' 2024-04-29 14:47:58.401380', ' 1.472']","[' 2024-04-29 14:47:58.401380', ' 10699.8337']"
330,"[' 2024-04-29 14:47:58.603917', ' 1.484']","[' 2024-04-29 14:47:58.603917', ' 10630.5611']"
331,"[' 2024-04-29 14:47:58.801142', ' 1.491']","[' 2024-04-29 14:47:58.801142', ' 10586.5238']"
332,"[' 2024-04-29 14:47:59.008811', ' 1.501']","[' 2024-04-29 14:47:59.008811', ' 10518.1456']"
333,"[' 2024-04-29 14:47:59.200467', ' 1.507']","[' 2024-04-29 14:47:59.200467', ' 10346.6176']"
334,"[' 2024-04-29 14:47:59.399613', ' 1.514']","[' 2024-04-29 14:47:59.399613', ' 10492.4172']"
335,"[' 2024-04-29 14:47:59.608441', ' 1.517']","[' 2024-04-29 14:47:59.608441', ' 10484.3129']"
336,"[' 2024-04-29 14:47:59.811033', ' 1.521']","[' 2024-04-29 14:47:59.811033', ' 10322.778']"
337,"[' 2024-04-29 14:48:00.011973', ' 1.526']","[' 2024-04-29 14:48:00.011973', ' 10352.7182']"
338,"[' 2024-04-29 14:48:00.211519', ' 1.529']","[' 2024-04-29 14:48:00.211519', ' 10276.1735']"
339,"[' 2024-04-29 14:48:00.410699', ' 1.531']","[' 2024-04-29 14:48:00.410699', ' 10201.5725']"
340,"[' 2024-04-29 14:48:00.600521', ' 1.536']","[' 2024-04-29 14:48:00.600521', ' 10301.0931']"
341,"[' 2024-04-29 14:48:00.809205', ' 1.542']","[' 2024-04-29 14:48:00.809205', ' 10207.6778']"
342,"[' 2024-04-29 14:48:01.011663', ' 1.545']","[' 2024-04-29 14:48:01.011663', ' 10038.212']"
343,"[' 2024-04-29 14:48:01.211762', ' 1.55']","[' 2024-04-29 14:48:01.211762', ' 10142.1564']"
344,"[' 2024-04-29 14:48:01.411791', ' 1.558']","[' 2024-04-29 14:48:01.411791', ' 10004.4953']"
345,"[' 2024-04-29 14:48:01.600832', ' 1.564']","[' 2024-04-29 14:48:01.600832', ' 10005.7309']"
346,"[' 2024-04-29 14:48:01.802841', ' 1.573']","[' 2024-04-29 14:48:01.802841', ' 9733.422']"
347,"[' 2024-04-29 14:48:02.002379', ' 1.579']","[' 2024-04-29 14:48:02.002379', ' 9722.77309']"
348,"[' 2024-04-29 14:48:02.208368', ' 1.589']","[' 2024-04-29 14:48:02.208368', ' 9711.95067']"
349,"[' 2024-04-29 14:48:02.413458', ' 1.592']","[' 2024-04-29 14:48:02.413458', ' 9590.86799']"
350,"[' 2024-04-29 14:48:02.613574', ' 1.595']","[' 2024-04-29 14:48:02.613574', ' 9875.87467']"
351,"[' 2024-04-29 14:48:02.803658', ' 1.599']","[' 2024-04-29 14:48:02.803658', ' 9499.22893']"
352,"[' 2024-04-29 14:48:03.004229', ' 1.603']","[' 2024-04-29 14:48:03.004229', ' 9725.4883']"
353,"[' 2024-04-29 14:48:03.199957', ' 1.606']","[' 2024-04-29 14:48:03.199957', ' 9736.13745']"
354,"[' 2024-04-29 14:48:03.407943', ' 1.61']","[' 2024-04-29 14:48:03.407943', ' 9575.68727']"
355,"[' 2024-04-29 14:48:03.599821', ' 1.619']","[' 2024-04-29 14:48:03.599821', ' 9507.23562']"
356,"[' 2024-04-29 14:48:03.797629', ' 1.623']","[' 2024-04-29 14:48:03.797629', ' 9569.48804']"
357,"[' 2024-04-29 14:48:04.007169', ' 1.628']","[' 2024-04-29 14:48:04.007169', ' 9381.93625']"
358,"[' 2024-04-29 14:48:04.206547', ' 1.634']","[' 2024-04-29 14:48:04.206547', ' 9447.49693']"
359,"[' 2024-04-29 14:48:04.402160', ' 1.637']","[' 2024-04-29 14:48:04.402160', ' 9373.37993']"
360,"[' 2024-04-29 14:48:04.607676', ' 1.643']","[' 2024-04-29 14:48:04.607676', ' 9208.69796']"
361,"[' 2024-04-29 14:48:04.807521', ' 1.65']","[' 2024-04-29 14:48:04.807521', ' 9178.0381']"
362,"[' 2024-04-29 14:48:05.008421', ' 1.654']","[' 2024-04-29 14:48:05.008421', ' 9161.21883']"
363,"[' 2024-04-29 14:48:05.210628', ' 1.663']","[' 2024-04-29 14:48:05.210628', ' 9242.97043']"
364,"[' 2024-04-29 14:48:05.407569', ' 1.667']","[' 2024-04-29 14:48:05.407569', ' 9078.50074']"
365,"[' 2024-04-29 14:48:05.608073', ' 1.671']","[' 2024-04-29 14:48:05.608073', ' 9058.00723']"
366,"[' 2024-04-29 14:48:05.808894', ' 1.681']","[' 2024-04-29 14:48:05.808894', ' 9164.99766']"
367,"[' 2024-04-29 14:48:06.008866', ' 1.691']","[' 2024-04-29 14:48:06.008866', ' 8977.76405']"
368,"[' 2024-04-29 14:48:06.210900', ' 1.702']","[' 2024-04-29 14:48:06.210900', ' 8949.99093']"
369,"[' 2024-04-29 14:48:06.409471', ' 1.715']","[' 2024-04-29 14:48:06.409471', ' 8877.85702']"
370,"[' 2024-04-29 14:48:06.609309', ' 1.718']","[' 2024-04-29 14:48:06.609309', ' 8862.89718']"
371,"[' 2024-04-29 14:48:06.811201', ' 1.722']","[' 2024-04-29 14:48:06.811201', ' 8800.27391']"
372,"[' 2024-04-29 14:48:07.009962', ' 1.729']","[' 2024-04-29 14:48:07.009962', ' 8715.95449']"
373,"[' 2024-04-29 14:48:07.211469', ' 1.73']","[' 2024-04-29 14:48:07.211469', ' 8767.36405']"
374,"[' 2024-04-29 14:48:07.404088', ' 1.733']","[' 2024-04-29 14:48:07.404088', ' 8759.01852']"
375,"[' 2024-04-29 14:48:07.610554', ' 1.736']","[' 2024-04-29 14:48:07.610554', ' 8701.93884']"
376,"[' 2024-04-29 14:48:07.810510', ' 1.742']","[' 2024-04-29 14:48:07.810510', ' 8572.38378']"
377,"[' 2024-04-29 14:48:08.010586', ' 1.745']","[' 2024-04-29 14:48:08.010586', ' 8704.87543']"
378,"[' 2024-04-29 14:48:08.210769', ' 1.753']","[' 2024-04-29 14:48:08.210769', ' 8574.24888']"
379,"[' 2024-04-29 14:48:08.412624', ' 1.759']","[' 2024-04-29 14:48:08.412624', ' 8543.55752']"
380,"[' 2024-04-29 14:48:08.606296', ' 1.762']","[' 2024-04-29 14:48:08.606296', ' 8557.81848']"
381,"[' 2024-04-29 14:48:08.806542', ' 1.766']","[' 2024-04-29 14:48:08.806542', ' 8506.05822']"
382,"[' 2024-04-29 14:48:09.000818', ' 1.775']","[' 2024-04-29 14:48:09.000818', ' 8623.01275']"
383,"[' 2024-04-29 14:48:09.198140', ' 1.782']","[' 2024-04-29 14:48:09.198140', ' 8519.56275']"
384,"[' 2024-04-29 14:48:09.398946', ' 1.79']","[' 2024-04-29 14:48:09.398946', ' 8507.51779']"
385,"[' 2024-04-29 14:48:09.597954', ' 1.794']","[' 2024-04-29 14:48:09.597954', ' 8439.36709']"
386,"[' 2024-04-29 14:48:09.798240', ' 1.799']","[' 2024-04-29 14:48:09.798240', ' 8396.14952']"
387,"[' 2024-04-29 14:48:10.009011', ' 1.805']","[' 2024-04-29 14:48:10.009011', ' 8576.74707']"
388,"[' 2024-04-29 14:48:10.209801', ' 1.809']","[' 2024-04-29 14:48:10.209801', ' 8492.82443']"
389,"[' 2024-04-29 14:48:10.399435', ' 1.816']","[' 2024-04-29 14:48:10.399435', ' 8232.53738']"
390,"[' 2024-04-29 14:48:10.601210', ' 1.823']","[' 2024-04-29 14:48:10.601210', ' 8259.62757']"
391,"[' 2024-04-29 14:48:10.799651', ' 1.826']","[' 2024-04-29 14:48:10.799651', ' 8357.64334']"
392,"[' 2024-04-29 14:48:10.999640', ' 1.831']","[' 2024-04-29 14:48:10.999640', ' 8297.8688']"
393,"[' 2024-04-29 14:48:11.199725', ' 1.836']","[' 2024-04-29 14:48:11.199725', ' 8323.32205']"
394,"[' 2024-04-29 14:48:11.410735', ' 1.84']","[' 2024-04-29 14:48:11.410735', ' 8284.12869']"
395,"[' 2024-04-29 14:48:11.596764', ' 1.846']","[' 2024-04-29 14:48:11.596764', ' 8261.69615']"
396,"[' 2024-04-29 14:48:11.800963', ' 1.852']","[' 2024-04-29 14:48:11.800963', ' 8124.82832']"
397,"[' 2024-04-29 14:48:12.000928', ' 1.855']","[' 2024-04-29 14:48:12.000928', ' 8065.70967']"
398,"[' 2024-04-29 14:48:12.200958', ' 1.862']","[' 2024-04-29 14:48:12.200958', ' 8181.65715']"
399,"[' 2024-04-29 14:48:12.398496', ' 1.869']","[' 2024-04-29 14:48:12.398496', ' 7916.00269']"
400,"[' 2024-04-29 14:48:12.601541', ' 1.874']","[' 2024-04-29 14:48:12.601541', ' 8086.20299']"
401,"[' 2024-04-29 14:48:12.801406', ' 1.878']","[' 2024-04-29 14:48:12.801406', ' 8007.4393']"
402,"[' 2024-04-29 14:48:13.001890', ' 1.883']","[' 2024-04-29 14:48:13.001890', ' 8003.55775']"
403,"[' 2024-04-29 14:48:13.202372', ' 1.886']","[' 2024-04-29 14:48:13.202372', ' 8015.94127']"
404,"[' 2024-04-29 14:48:13.403239', ' 1.896']","[' 2024-04-29 14:48:13.403239', ' 7947.23089']"
405,"[' 2024-04-29 14:48:13.611847', ' 1.901']","[' 2024-04-29 14:48:13.611847', ' 8001.11504']"
