,load,ohms
435,"[' 2024-04-29 13:58:09.261877', ' 2.12']","[' 2024-04-29 13:58:09.261877', ' 10823.8199']"
436,"[' 2024-04-29 13:58:09.454789', ' 2.124']","[' 2024-04-29 13:58:09.454789', ' 10704.6209']"
437,"[' 2024-04-29 13:58:09.661897', ' 2.134']","[' 2024-04-29 13:58:09.661897', ' 10677.232']"
438,"[' 2024-04-29 13:58:09.861118', ' 2.146']","[' 2024-04-29 13:58:09.861118', ' 10727.2258']"
439,"[' 2024-04-29 13:58:10.062709', ' 2.151']","[' 2024-04-29 13:58:10.062709', ' 10486.3719']"
440,"[' 2024-04-29 13:58:10.261714', ' 2.154']","[' 2024-04-29 13:58:10.261714', ' 10470.359']"
441,"[' 2024-04-29 13:58:10.461529', ' 2.159']","[' 2024-04-29 13:58:10.461529', ' 10371.4846']"
442,"[' 2024-04-29 13:58:10.662005', ' 2.16']","[' 2024-04-29 13:58:10.662005', ' 10527.3433']"
443,"[' 2024-04-29 13:58:10.861689', ' 2.165']","[' 2024-04-29 13:58:10.861689', ' 10457.0289']"
444,"[' 2024-04-29 13:58:11.065872', ' 2.17']","[' 2024-04-29 13:58:11.065872', ' 10571.1972']"
445,"[' 2024-04-29 13:58:11.264059', ' 2.174']","[' 2024-04-29 13:58:11.264059', ' 10417.9754']"
446,"[' 2024-04-29 13:58:11.461549', ' 2.179']","[' 2024-04-29 13:58:11.461549', ' 10199.9013']"
447,"[' 2024-04-29 13:58:11.661762', ' 2.187']","[' 2024-04-29 13:58:11.661762', ' 10301.7369']"
448,"[' 2024-04-29 13:58:11.861157', ' 2.195']","[' 2024-04-29 13:58:11.861157', ' 10117.6101']"
449,"[' 2024-04-29 13:58:12.063550', ' 2.2']","[' 2024-04-29 13:58:12.063550', ' 10209.8662']"
450,"[' 2024-04-29 13:58:12.261569', ' 2.203']","[' 2024-04-29 13:58:12.261569', ' 10216.7259']"
451,"[' 2024-04-29 13:58:12.462533', ' 2.211']","[' 2024-04-29 13:58:12.462533', ' 9983.95034']"
452,"[' 2024-04-29 13:58:12.664100', ' 2.217']","[' 2024-04-29 13:58:12.664100', ' 10150.8785']"
453,"[' 2024-04-29 13:58:12.862207', ' 2.228']","[' 2024-04-29 13:58:12.862207', ' 9960.37652']"
454,"[' 2024-04-29 13:58:13.062910', ' 2.232']","[' 2024-04-29 13:58:13.062910', ' 9948.12239']"
455,"[' 2024-04-29 13:58:13.261936', ' 2.237']","[' 2024-04-29 13:58:13.261936', ' 9939.54277']"
456,"[' 2024-04-29 13:58:13.474327', ' 2.244']","[' 2024-04-29 13:58:13.474327', ' 10026.3499']"
457,"[' 2024-04-29 13:58:13.661415', ' 2.247']","[' 2024-04-29 13:58:13.661415', ' 9763.98798']"
458,"[' 2024-04-29 13:58:13.862695', ' 2.253']","[' 2024-04-29 13:58:13.862695', ' 9958.42858']"
459,"[' 2024-04-29 13:58:14.062494', ' 2.256']","[' 2024-04-29 13:58:14.062494', ' 9781.37347']"
460,"[' 2024-04-29 13:58:14.261322', ' 2.259']","[' 2024-04-29 13:58:14.261322', ' 9865.37616']"
461,"[' 2024-04-29 13:58:14.461499', ' 2.266']","[' 2024-04-29 13:58:14.461499', ' 9804.14451']"
462,"[' 2024-04-29 13:58:14.661598', ' 2.271']","[' 2024-04-29 13:58:14.661598', ' 9774.14713']"
463,"[' 2024-04-29 13:58:14.862383', ' 2.28']","[' 2024-04-29 13:58:14.862383', ' 9572.92201']"
464,"[' 2024-04-29 13:58:15.060189', ' 2.288']","[' 2024-04-29 13:58:15.060189', ' 9493.78686']"
465,"[' 2024-04-29 13:58:15.260384', ' 2.3']","[' 2024-04-29 13:58:15.260384', ' 9570.37702']"
